lan@fedora:~/Programs/side_channel_leakage$ sudo python basic_pyshark.py 

Please enter the name of the interface: wlp0s20f0u1u1
2026-05-01 22:27:56,833 - LiveCapture - DEBUG - Creating Dumpcap subprocess with parameters: /usr/sbin/dumpcap -q -i wlp0s20f0u1u1 -w -
2026-05-01 22:27:56,834 - LiveCapture - DEBUG - Dumpcap subprocess (pid 27846) created
2026-05-01 22:27:57,017 - LiveCapture - DEBUG - Creating TShark subprocess with parameters: /usr/sbin/tshark -l -n -T pdml -Y (wlan.fc.type_subtype == 0x00||  wlan.fc.type_subtype == 0x04 || wlan.fc.type_subtype == 0x05 ) -i -
2026-05-01 22:27:57,017 - LiveCapture - DEBUG - Executable: /usr/sbin/tshark
2026-05-01 22:27:57,018 - LiveCapture - DEBUG - Capturing on 'wlp0s20f0u1u1'
2026-05-01 22:27:57,018 - LiveCapture - DEBUG - File: -
2026-05-01 22:27:57,019 - LiveCapture - DEBUG - TShark subprocess (pid 27871) created
2026-05-01 22:27:57,071 - LiveCapture - DEBUG - Running as user "root" and group "root". This could be dangerous.
2026-05-01 22:27:57,199 - LiveCapture - DEBUG - Capturing on 'Standard input'
SubType: '4'   | MAC: '22:88:1b:61:42:7b' | SSID: 'Three_CC464C'| Dest BSSID : 'ff:ff:ff:ff:ff:ff' | Signal: '-66' dBm | Distance: '0.2' m
SubType: '4'   | MAC: '22:88:1b:61:42:7b' | SSID: 'Three_CC464C'| Dest BSSID : 'ff:ff:ff:ff:ff:ff' | Signal: '-66' dBm | Distance: '0.2' m
SubType: '4'   | MAC: '46:e0:11:46:eb:bc' | SSID: 'SSID: <MISSING>'| Dest BSSID : 'ff:ff:ff:ff:ff:ff' | Signal: '-74' dBm | Distance: '0.5' m
SubType: '4'   | MAC: '46:e0:11:46:eb:bc' | SSID: 'SSID: <MISSING>'| Dest BSSID : 'ff:ff:ff:ff:ff:ff' | Signal: '-74' dBm | Distance: '0.5' m
SubType: '4'   | MAC: '52:40:e9:61:ed:23' | SSID: 'SSID: <MISSING>'| Dest BSSID : 'ff:ff:ff:ff:ff:ff' | Signal: '-76' dBm | Distance: '0.63' m
SubType: '5'   | MAC: 'b0:0a:d5:d6:46:4c' | SSID: 'Three_CC464C'| Dest BSSID : '52:40:e9:61:ed:23' | Signal: '-82' dBm | Distance: '1.26' m
SubType: '4'   | MAC: '52:40:e9:61:ed:23' | SSID: 'SSID: <MISSING>'| Dest BSSID : 'ff:ff:ff:ff:ff:ff' | Signal: '-78' dBm | Distance: '0.79' m
SubType: '5'   | MAC: 'b0:0a:d5:d6:46:4c' | SSID: 'Three_CC464C'| Dest BSSID : '52:40:e9:61:ed:23' | Signal: '-82' dBm | Distance: '1.26' m
SubType: '4'   | MAC: '06:9d:ec:56:b5:6c' | SSID: 'SSID: <MISSING>'| Dest BSSID : 'ff:ff:ff:ff:ff:ff' | Signal: '-82' dBm | Distance: '1.26' m
SubType: '4'   | MAC: '06:9d:ec:56:b5:6c' | SSID: 'SSID: <MISSING>'| Dest BSSID : 'ff:ff:ff:ff:ff:ff' | Signal: '-82' dBm | Distance: '1.26' m
SubType: '4'   | MAC: 'ea:df:d4:7b:fe:a0' | SSID: 'SSID: <MISSING>'| Dest BSSID : 'ff:ff:ff:ff:ff:ff' | Signal: '-82' dBm | Distance: '1.26' m
SubType: '4'   | MAC: 'ea:df:d4:7b:fe:a0' | SSID: 'SSID: <MISSING>'| Dest BSSID : 'ff:ff:ff:ff:ff:ff' | Signal: '-82' dBm | Distance: '1.26' m
SubType: '4'   | MAC: '9a:ad:4c:09:16:d1' | SSID: 'TP-Link_D5C0'| Dest BSSID : 'ff:ff:ff:ff:ff:ff' | Signal: '-78' dBm | Distance: '0.79' m
SubType: '4'   | MAC: '9a:ad:4c:09:16:d1' | SSID: 'TP-Link_D5C0'| Dest BSSID : 'ff:ff:ff:ff:ff:ff' | Signal: '-78' dBm | Distance: '0.79' m
SubType: '4'   | MAC: '9a:ad:4c:09:16:d1' | SSID: 'TP-Link_D5C0'| Dest BSSID : 'ff:ff:ff:ff:ff:ff' | Signal: '-88' dBm | Distance: '2.51' m
SubType: '4'   | MAC: '9a:ad:4c:09:16:d1' | SSID: 'TP-Link_D5C0'| Dest BSSID : 'ff:ff:ff:ff:ff:ff' | Signal: '-88' dBm | Distance: '2.51' m
SubType: '4'   | MAC: '9a:ad:4c:09:16:d1' | SSID: 'TP-Link_D5C0'| Dest BSSID : 'ff:ff:ff:ff:ff:ff' | Signal: '-82' dBm | Distance: '1.26' m
SubType: '4'   | MAC: '9a:ad:4c:09:16:d1' | SSID: 'TP-Link_D5C0'| Dest BSSID : 'ff:ff:ff:ff:ff:ff' | Signal: '-82' dBm | Distance: '1.26' m
SubType: '4'   | MAC: 'bc:39:10:7b:fa:07' | SSID: 'SSID: <MISSING>'| Dest BSSID : 'ff:ff:ff:ff:ff:ff' | Signal: '-92' dBm | Distance: '3.98' m
